"Model","year","N","N_2.5","N_97.5","N_sd","N_Rhat","N_n.eff","p1_mean","p1_2.5","p1_97.5","p2_mean","p2_2.5","p2_97.5","p3_mean","p3_2.5","p3_97.5","p4_mean","p4_2.5","p4_97.5","p5_mean","p5_2.5","p5_97.5","alpha","alpha_sd","nbErr"
"Yoshizaki",6,15.0958719492066,14.2312718676066,16.9967524463019,0.730726374507013,1,5365,0.659327895221891,0.416170385576308,0.868247954534885,0.595823525214936,0.352754237737065,0.814797911112747,0.721655582385445,0.478684669283737,0.910214876666866,0.538530590837801,0.2942333009648,0.774495503522354,0.596679410777025,0.354606870603614,0.819563295063211,NA,NA,NA
"Yoshizaki",7,20.4236751994848,18.6731078582438,23.9040489112355,1.37413966612695,1,4711,0.460270680887894,0.254893136611801,0.675062225205689,0.553156065492138,0.336047050080853,0.763001134017885,0.704759705759545,0.477317386120664,0.886615023595827,0.555200555398089,0.339595533814998,0.762923622682458,0.554708523275161,0.337898592340661,0.769817951190175,NA,NA,NA
"Yoshizaki",8,14.7386295943156,14.1371046594489,16.1048498197964,0.526503182468327,1,5068,0.729153312208645,0.485224374051835,0.914919126595157,0.727227342693216,0.491479230837234,0.914183089288515,0.666947703743807,0.42696570584885,0.874557097322472,0.666755931482362,0.42319684424503,0.872110239080212,0.48344766746795,0.255643458552926,0.719394250179746,NA,NA,NA
"Yoshizaki",10,15.2094181486611,15.027603768788,15.6642012589651,0.171752934945195,1,5666,0.819045319631729,0.614197711779307,0.958225721118788,0.63881991111617,0.403987054623316,0.838026106856043,0.877361589607975,0.68492762088285,0.985694638624285,0.759715523669289,0.541519789424671,0.925589449995072,0.639420153925571,0.400860944840902,0.840686027705906,NA,NA,NA
"Yoshizaki",11,23.6128390451,22.4669249917286,25.8709907016798,0.88411296651735,1,5216,0.554553985369401,0.356582514997929,0.743438395170711,0.596256629028427,0.393655484331628,0.785642858588352,0.515236190224075,0.31710266614842,0.709149742427709,0.634413234487769,0.433570239018265,0.813866684100275,0.807052230470829,0.618592651958913,0.942100036301487,NA,NA,NA
"Yoshizaki",12,18.396816860265,18.071237107181,19.1832506541446,0.297710530853413,1,4296,0.489541439347537,0.280285301959326,0.704648562485572,0.736476513084737,0.526683034933101,0.901937285022214,0.591077289937204,0.37857219097185,0.789937890075573,0.943346928972389,0.797282893137629,0.99877940922577,0.73974848118888,0.524907984643262,0.902032265816994,NA,NA,NA
"LMM2",6,16.1232333333333,16,17,0.363388608239502,1.03,2837,1.11018749464598,0.667597696583019,1.66913446381668,1.51851569792773,0.989225037935496,2.15565527393251,1.63380086912891,1.08379171850483,2.29400425062148,1.63658164763105,1.08406628988844,2.29552906165061,1.45988372649748,0.944139014283568,2.09268491943274,0.943896447280238,0.0208228780752227,5.88973333333333
"LMM2",7,22.6845666666667,22,25,0.88134047767599,1.01,1153,0.508603165325394,0.261187430575693,0.836892975287801,1.4798805206337,1.02581776608234,2.02633729619806,1.35119950857435,0.919436976168549,1.87027956222357,1.43938504945269,0.98719476455065,1.9681360510053,1.10113990486816,0.716360506175608,1.56718624412614,0.937931203203111,0.0212658699037284,7.4319
"LMM2",8,14.2705,14,16,0.544248371802501,1,634,1.04869921720678,0.596139856012661,1.63350728571655,1.11479373250382,0.642200173334518,1.71611502338755,1.57006467845039,0.996483085425269,2.26070384941278,1.57596285850832,1.00413744804478,2.26985733098075,1.3101460273225,0.796325666212917,1.94221823911931,0.910306681889763,0.0291075191265462,7.78176666666667
"LMM2",10,16.0933,16,17,0.313259819304168,1.03,3011,1.69739423439085,1.13647771503068,2.3757847276191,1.28755171717541,0.807754578633339,1.87912817866788,2.27878703844544,1.6199243861764,3.05079585575823,1.0547227320489,0.624054218486575,1.59604919518127,1.5792049337019,1.04156619318955,2.23397856253234,0.955195638510648,0.0180118156584578,4.91563333333333
"LMM2",11,23.5644666666667,23,25,0.779656534015197,1,3300,0.938598827244659,0.590710883424565,1.37050860108703,0.85845307387787,0.528190483310115,1.26629589108097,1.17981730762049,0.783582554937547,1.64637365011175,1.50591431132974,1.05076241314768,2.04133190324818,1.34646807312308,0.9281934924547,1.84573107882802,0.974769666305637,0.014072977292691,2.52386666666667
"LMM2",12,18.0725333333333,18,19,0.27533272446114,1.19,3940,0.892596172555146,0.518460291509769,1.36588757403202,1.62861184375141,1.11074472409418,2.25120788411116,1.8348306728615,1.27551595492528,2.49140568449611,2.36055038223023,1.71597464251071,3.09119201919056,1.88546240227533,1.32062989569543,2.55621816546823,0.95684385539807,0.0160537627142964,5.93233333333333
"Mt",6,22.8863,22,26,1.05442371479038,1,3794,0.482770589670698,0.289315579564331,0.679538363186872,0.442637976464167,0.25686155337004,0.640550326680945,0.563394882195745,0.367192006127287,0.75566014278163,0.444414418528088,0.257079554857711,0.642252856634235,0.484206632518935,0.293753818666604,0.680986551083896,NA,NA,NA
"Mt",7,31.8674333333333,30,36,1.59411755711901,1,5173,0.325252995719531,0.178649073911162,0.495621375821986,0.44420014417872,0.279481785248137,0.616242011714737,0.562149190095819,0.386398204693108,0.731231974485511,0.444474879380393,0.279664613146135,0.616032923495106,0.385166757807441,0.229235520902571,0.556816673388394,NA,NA,NA
"Mt",8,22.7132666666667,22,25,0.915247827007372,1,3029,0.567175761816567,0.370553242598331,0.7543357134754,0.485439337645958,0.293964878830547,0.682066330244672,0.446524680435617,0.259398936445935,0.643029783265139,0.566137004579908,0.369296235274226,0.754501436467737,0.445338398306208,0.255452012116126,0.642520842977476,NA,NA,NA
"Mt",10,21.1965,21,22,0.456904120553951,1,1943,0.732438156081404,0.535339967340598,0.889765931720152,0.517656822074318,0.31844100245363,0.713963627824859,0.732354946976791,0.536116036780268,0.889046202757989,0.55995912236773,0.358385631086391,0.75376786032104,0.474227670276743,0.280933310914614,0.674425223998722,NA,NA,NA
"Mt",11,26.3174,26,28,0.598054481051192,1,2192,0.494710541338204,0.313545991335645,0.676094624280707,0.529296542004311,0.344921237751565,0.708474328768422,0.529885228128223,0.349324398254157,0.708309964762309,0.564293347885489,0.381549811844424,0.739825555862322,0.777124723191119,0.604537523796398,0.908318627313491,NA,NA,NA
