"model","S","N","lambda","alpha","iter","N_mean","N_sd","N_2.5","N_50","N_97.5","N_Rhat","N_n.eff","a_mean","a_sd","a_2.5","a_50","a_97.5","a_Rhat","a_n.eff","nbErrTot_mean","nbErrTot_sd","nbErrTot_2.5","nbErrTot_50","nbErrTot_97.5","nbErrTot_Rhat","nbErrTot_n.eff"
"LMM2",5,500,0.11,0.8,1,244.8879,104.684732784938,109,224,506,1.01,152,0.558409451058872,0.104533472288714,0.388338483981777,0.5456867491238,0.79784091117243,1,168,124.31745,28.5224885329998,58,128,169,1,177
"LMM2",5,500,0.11,0.8,2,247.05195,126.671609431748,107,211,613,1.1,103,0.5411614864232,0.114217191703933,0.374443724206569,0.519793651396012,0.834468987487005,1.05,140,133.3932,32.3818332235244,49,140,179,1.06,131
"LMM2",5,500,0.11,0.8,3,170.7494,81.0850740833475,77,151,381.024999999998,1.02,135,0.477038886501638,0.0940884733371095,0.332501646429668,0.463635142257706,0.695073013367845,1.01,199,134.92965,23.1893507493614,80,139,168,1.01,175
"LMM2",5,500,0.11,0.8,4,223.41635,102.061410578406,95,200,498,1,173,0.58447591896159,0.113775451427112,0.402476677648461,0.569331379534611,0.860982649727057,1,231,101.5303,27.0285942874478,34,106,143,1.01,217
"LMM2",5,500,0.11,0.8,5,333.78745,162.343450875912,121,293,760,1.05,98,0.596686975156641,0.128745118988067,0.390721313072633,0.577588917701576,0.895389413491136,1.04,126,116.0242,36.4556122557727,31,122,173,1.04,120
"LMM2",5,500,0.11,0.8,6,279.7337,165.594962087871,78,235,751.024999999998,1.03,79,0.496978716655732,0.131471522999935,0.288597403749841,0.478232142848332,0.813298830322689,1.03,105,130.2902,33.348572538034,49,136,182,1.03,102
"LMM2",5,500,0.11,0.8,7,192.47725,80.9830475787202,91,174,404,1.13,164,0.528298907388741,0.0934466505619612,0.378633969239814,0.516255735501933,0.742565358928338,1.08,222,132.1305,25.007325688024,73,136,170,1.1,204
"LMM2",5,500,0.11,0.8,8,305.2136,147.973905770171,122,268,712.024999999998,1.02,108,0.585787650995123,0.123700316469479,0.390798633637347,0.567555684852893,0.884362410707799,1,136,119.5399,35.0244749237185,33,125,173,1.01,137
"LMM2",5,500,0.11,0.8,9,345.8411,141.617636008131,147,322,702,1,138,0.67961088090455,0.122956213184823,0.466748493082203,0.669881015161566,0.94483095965294,1,180,89.0232,33.8053738616377,15,92,147,1,159
"LMM2",5,500,0.11,0.8,10,321.1898,176.621214265519,103,276,776,1.05,78,0.586937670917259,0.141460360735453,0.364468282064245,0.568379373445961,0.917749741078356,1.02,110,109.265,36.9552697135061,22,115,166,1.02,110
"LMM2",5,500,0.11,0.9,1,330.34265,122.845931137817,148,310,626.024999999998,1.02,183,0.706398166368152,0.116134466548048,0.50109563815375,0.69751490216404,0.949392967453028,1.01,220,82.51325,32.2351032188742,14,85,138,1.01,209
"LMM2",5,500,0.11,0.9,2,216.19345,80.0593561185862,108,201,417,1,199,0.59041640423712,0.0922605610447303,0.438763306691796,0.582222300762902,0.798581957819231,1,239,118.9948,25.7004318751637,59,122,160,1,228
"LMM2",5,500,0.11,0.9,3,232.1211,105.356252457016,105,206,516.024999999998,1.02,154,0.588180847546983,0.112953876927212,0.413750203033452,0.570749935649104,0.858700590006979,1.01,178,106.0406,28.3421296916053,36,111,148,1.01,176
"LMM2",5,500,0.11,0.9,4,274.79035,109.929630323488,123,254,566,1.04,217,0.687594926051505,0.116824406039125,0.484817032854683,0.677517495102939,0.949432211369788,1.01,255,76.15895,27.943282309865,12,79,123,1.01,232
"LMM2",5,500,0.11,0.9,5,356.99605,166.436255923287,141,321,787,1.01,102,0.655722834512601,0.133898990652517,0.439452564131337,0.63997569310008,0.957273470268061,1.01,119,98.74805,38.0489074372098,12,104,158,1.01,116
"LMM2",5,500,0.11,0.9,6,338.61555,165.272311035567,122,299,760.024999999998,1.08,98,0.648957967270629,0.139846673232163,0.418484938345475,0.632135802641133,0.948701970026095,1.06,129,90.5852,35.7262432839357,13,95,149,1.06,121
"LMM2",5,500,0.11,0.9,7,226.00005,81.7000452562129,117,208,448,1.01,247,0.639263730470163,0.0965522283581116,0.483062323283753,0.627341400607691,0.869215212453513,1,284,100.7169,26.0699872765951,37,105,141,1.01,254
"LMM2",5,500,0.11,0.9,8,367.692,137.646132742235,167,344,697,1,161,0.72387756376498,0.118356840727766,0.515337969999506,0.71460864324727,0.966493708851671,1,202,79.2191,33.6156242794892,9,82,137,1,202
"LMM2",5,500,0.11,0.9,9,369.146,106.225912946084,194,359,590,1,266,0.802716981637369,0.102761115298856,0.600405721385809,0.803937693542427,0.9813159726545,1,311,54.4182,28.0453852878116,5,54,108,1,304
"LMM2",5,500,0.11,0.9,10,344.60485,153.447908162684,137,310,730,1,115,0.666969352764678,0.130828997008279,0.449434057704183,0.651905523021429,0.949919240075064,1,152,87.8393,34.1934911240687,13,92,144,1,138
"LMM2",5,500,0.11,0.95,1,332.3969,113.202375899472,162,315,588,1.01,175,0.739614477295652,0.111003788473188,0.543120076639844,0.732134784148763,0.961868580518186,1.01,242,72.9955,30.7496675893064,11,75,126,1.01,224
"LMM2",5,500,0.11,0.95,2,245.62455,87.6295277518041,124,228,466,1.03,219,0.651244360572181,0.0987718125119885,0.488258468049117,0.640304199914438,0.877657042030669,1.01,284,101.17285,27.7757312674189,36,105,146,1.01,255
"LMM2",5,500,0.11,0.95,3,252.8818,105.480969091595,115,228,521,1,190,0.636932737742801,0.115572469445123,0.446498070905691,0.621214426117259,0.900769743916423,1,232,93.3538,29.0605617869402,25,98,139,1,211
"LMM2",5,500,0.11,0.95,4,247.81805,96.4924607622103,114,229,488,1,247,0.675098193276859,0.112984115670293,0.484191309717419,0.665817109747655,0.929633596826767,1,285,79.3033,26.9446564245212,17,82,124,1,265
"LMM2",5,500,0.11,0.95,5,313.13685,124.513531003854,144,286,627,1.07,159,0.688300958933712,0.118648412188975,0.489826463139848,0.676080701607724,0.953427803079699,1.05,180,89.31925,33.5285779256202,13,93,144,1.05,175
"LMM2",5,500,0.11,0.95,6,356.71175,153.625677880954,129,331,712,1.01,137,0.696572908656761,0.136415084982322,0.450221897571014,0.690530832139415,0.967860115628762,1.01,147,78.13695,34.875652112226,8,80,140,1.01,152
"LMM2",5,500,0.11,0.95,7,250.27695,80.656316682381,132,235,444,1.01,297,0.709711412184803,0.0974925475398664,0.540275154726722,0.699887976451351,0.920952490843087,1,358,80.86535,26.4061164037175,21,84,125,1,320
"LMM2",5,500,0.11,0.95,8,420.16175,118.576625891226,217,415,664,1,241,0.829398027418856,0.101630775953112,0.623708683262971,0.83719880804598,0.989792245688721,1,265,48.7397,28.9787651971511,3,47,107,1,266
"LMM2",5,500,0.11,0.95,9,357.54775,102.611336480217,183,351,567,1.01,308,0.806118712940825,0.103282831215838,0.599475599649012,0.809508952245641,0.983090039254,1.01,319,53.50235,28.3485956728253,4,53,109,1.01,297
"LMM2",5,500,0.11,0.95,10,239.54195,106.994550477532,110,212,531,1.09,156,0.619671583084709,0.115063109540141,0.441405817985422,0.602077195678735,0.898527237101807,1.04,193,100.5987,29.7742469862662,26,106,144,1.05,175
"LMM2",5,500,0.23,0.8,1,393.2942,76.8392859164699,274,384,570,1,230,0.713190532906944,0.0567839870754852,0.612578026295244,0.709607776806372,0.836590902857956,1,298,163.8886,30.8574739605328,96,166,217,1,264
"LMM2",5,500,0.23,0.8,2,477.3638,89.0677820710169,336,466,682,1,230,0.799342459723027,0.0617999377275874,0.688502304323567,0.795759356223222,0.93301282843157,1,236,115.96635,34.6913763384665,39,119,176,1,222
"LMM2",5,500,0.23,0.8,3,582.13325,127.070801696809,370,572,858,1.03,155,0.820814533327705,0.0768435628446811,0.677744062212447,0.819613171085673,0.9751044895685,1.02,169,96.2817,40.7965079738835,13,98,170,1.02,161
"LMM2",5,500,0.23,0.8,4,401.711,71.1140621782498,286,393,567,1.01,265,0.720474821912176,0.0531627845281889,0.62475904907727,0.717478630959894,0.832183237151372,1.01,315,162.64095,29.1280990695457,99,165,214,1.01,282
"LMM2",5,500,0.23,0.8,5,457.1396,81.1417427158214,326,446,648,1,246,0.800564177609706,0.0580528247675479,0.696967637260755,0.79638370815728,0.92704092998597,1,275,117.389,33.1932834878298,44,120,175,1,245
"LMM2",5,500,0.23,0.8,6,339.57615,58.4160664801958,244,334,470,1.01,297,0.679194042887458,0.0485662320875617,0.591672605561284,0.676855991684041,0.778710649887308,1.01,372,184.8181,25.7716010593261,130,187,230,1.01,309
"LMM2",5,500,0.23,0.8,7,469.43095,100.796197476734,317,456,715,1.02,189,0.777059807167872,0.0693065069875913,0.657237890942305,0.771514195993044,0.934386479616194,1.01,218,120.92235,36.6591968721802,36,124,182,1.01,195
"LMM2",5,500,0.23,0.8,8,475.1548,83.1916563096563,344,464,670.024999999998,1.01,248,0.806376835308747,0.0575107771768421,0.70485070406517,0.801603562571639,0.933674893143303,1.01,281,118.7137,34.1879082858786,41,122,177,1.01,245
"LMM2",5,500,0.23,0.8,9,481.20135,97.2250078080977,332,467,724,1,199,0.77249152826222,0.0643507399246475,0.662566443532492,0.766262271339583,0.919258860723508,1,220,131.8459,36.2181852256163,47,136,192,1,198
"LMM2",5,500,0.23,0.8,10,413.1772,76.9441194636471,295,402,601,1,253,0.777030608057429,0.0588305430181645,0.676584356470947,0.77153081908556,0.908787329660024,1,273,125.76925,31.868328854157,53,129,178.024999999998,1,247
"LMM2",5,500,0.23,0.9,1,403.7259,66.5854657594472,297,396,563,1,333,0.810391269908116,0.0535401097506447,0.716962942114816,0.80633298607629,0.930234496112995,1,351,108.04625,29.3553367844313,40,111,158,1,312
"LMM2",5,500,0.23,0.9,2,466.42185,66.4488484855137,348,462,601,1.01,401,0.894861896631392,0.0508563183795715,0.79651651848246,0.894023572155533,0.989311839294946,1.01,417,60.31695,28.7252023414976,6,62,114,1.01,400
"LMM2",5,500,0.23,0.9,3,491.2541,87.1617088598231,341,484,676,1,267,0.862937209653929,0.0627662210714712,0.74399605129901,0.861429955646984,0.985093910772587,1,271,73.473,33.2381694711891,8,75,135,1,257
"LMM2",5,500,0.23,0.9,4,433.40205,62.505524978438,328,428,570,1.01,411,0.8653858421851,0.0498268753026943,0.772407832559176,0.8634666161975,0.967660593742972,1.01,414,77.82365,27.9601383963752,19,80,128,1.01,379
"LMM2",5,500,0.23,0.9,5,435.55075,52.8715962944399,340,433,543,1,603,0.908515137361248,0.0430030367836385,0.823637054556341,0.908018040190805,0.989487105190216,1,562,53.1969,24.4763842317294,6,54,100,1,576
"LMM2",5,500,0.23,0.9,6,375.77145,58.380317984522,280,369,514,1.02,383,0.798806082374235,0.049682718050528,0.708629880039346,0.795969175876716,0.90658974149949,1.01,413,115.52105,27.1297467377674,55,118,163,1.01,378
"LMM2",5,500,0.23,0.9,7,472.50915,80.3496622251051,339,464,648.024999999998,1,321,0.854450619864792,0.0597545766563999,0.744990653311301,0.852217102280499,0.977413776016833,1,333,78.6563,31.6263194430537,12,80,135,1,313
"LMM2",5,500,0.23,0.9,8,455.46195,59.8337267428688,350,451,583,1,406,0.89061159457247,0.0460207617881931,0.801486900208478,0.889451004941256,0.982169785286616,1,466,66.69115,27.5061882345966,10,68,119,1,434
"LMM2",5,500,0.23,0.9,9,531.5095,72.0350085852226,393,531,667,1,427,0.911066126337909,0.0501270915315071,0.807693820549135,0.91309855931736,0.99423388098235,1,413,50.9163,28.528231408718,3,50,109,1.01,396
"LMM2",5,500,0.23,0.9,10,406.13855,59.4166161154523,309,399,540,1,449,0.850203318428567,0.0497530408141199,0.76046809484582,0.84746067501233,0.955220321434634,1,475,84.09025,26.9580162784576,25,86,131,1,413
"LMM2",5,500,0.23,0.95,1,446.2049,50.4815524260771,349,445,540,1,632,0.92908195305677,0.0409191270080501,0.843013183164007,0.931514778498514,0.995048772207858,1,678,39.81525,22.7466522360302,2,39,86,1,590
"LMM2",5,500,0.23,0.95,2,467.76205,45.7897593889807,376,469,551,1,863,0.946805296764222,0.0351770018829061,0.868959746624226,0.951342244779921,0.997279765508436,1,833,30.0755,19.8212170106225,1,28,72.0249999999978,1,825
"LMM2",5,500,0.23,0.95,3,483.6476,53.7983682602119,377,486,580,1,764,0.939197191961245,0.0405251191928926,0.850754934999926,0.944529991190405,0.997020424972526,1,745,31.99325,21.3574158408284,1,29,78,1,679
"LMM2",5,500,0.23,0.95,4,417.51905,54.5519388546286,324,412,535.024999999998,1,533,0.891221263993988,0.0455461243543095,0.805223766360606,0.889826866637886,0.983103028237098,1,561,62.66295,25.5537648310841,10,64,109,1,519
"LMM2",5,500,0.23,0.95,5,409.70945,44.224817946755,328,408,495,1,744,0.92623401736717,0.0383608948088194,0.849547019660145,0.927059332191657,0.992953439852298,1,778,42.7358,21.741684235626,4,43,85,1,698
"LMM2",5,500,0.23,0.95,6,369.6164,51.8826333316079,285,363,487.024999999998,1,502,0.834410085574731,0.0459743061419254,0.751054050143551,0.831399937461702,0.933332454780019,1,533,94.8587,25.2529051748702,39,97,138,1,492
"LMM2",5,500,0.23,0.95,7,467.4852,67.1370594396084,342.975,465,597.024999999998,1.01,446,0.902079832322533,0.0517476545449633,0.797167809273671,0.903278574784658,0.991716547279881,1.01,441,52.4655,27.4848300075519,4,52,107,1.01,401
"LMM2",5,500,0.23,0.95,8,429.65475,50.1787599272331,340,426,535,1,604,0.906116049266366,0.0411353088570077,0.827208805083716,0.90511665798891,0.985831146057336,1,606,57.13565,24.4285506484081,8,58,102,1,567
"LMM2",5,500,0.23,0.95,9,504.81535,54.6130477416037,395,507,602,1.01,700,0.93900872657496,0.0394352425063419,0.853768313231511,0.943787881591271,0.996855734707296,1.02,661,34.5197,22.2940297635523,1,32,82,1.02,601
"LMM2",5,500,0.23,0.95,10,391.2472,53.0306091275145,302,387,509,1,510,0.877628763768394,0.0464361587088629,0.791426133728712,0.875954137157812,0.973812361748979,1,539,68.49875,25.160587258549,15,70,113,1,496
"LMM2",5,500,0.36,0.8,1,424.96305,41.3691751806856,355,421,516,1.01,420,0.75595148168597,0.0296533814017644,0.700858060980269,0.75486165555724,0.817495763910958,1.01,580,211.14235,22.5728479184762,162,213,250,1.01,470
"LMM2",5,500,0.36,0.8,2,503.2545,53.7830620236337,415,498,626,1,374,0.786130738890441,0.0334630674515665,0.725206701878993,0.784195798229702,0.85754996574506,1,449,193.48635,27.7527768792372,132,196,241,1,390
"LMM2",5,500,0.36,0.8,3,486.73095,51.343769546373,399,482,602,1,416,0.777173489003574,0.032931680305051,0.716366817314807,0.775599635442965,0.847106392148681,1,486,195.04435,26.2622156010477,137,197,242,1,408
"LMM2",5,500,0.36,0.8,4,497.05915,50.7517491154681,413,492,614,1,398,0.804679206756471,0.0323239194848417,0.746763738903351,0.802845027617942,0.87390047206251,1,465,177.9719,26.9679768239796,118,180,224,1,377
"LMM2",5,500,0.36,0.8,5,390.9188,33.2332022057225,332,388,462,1,420,0.733583411660567,0.0257848212918328,0.684032056758868,0.73284865521439,0.785131992516245,1,645,244.7108,19.4500431508243,204,246,280,1.01,444
"LMM2",5,500,0.36,0.8,6,399.08895,37.1435097952993,333,396,478,1.01,428,0.740619028124168,0.0278153305514429,0.687929500984667,0.739900462027918,0.796574645323716,1,629,229.2697,21.0292123794179,186,230,268,1.01,439
"LMM2",5,500,0.36,0.8,7,521.1036,50.8274545747367,437,516,639,1,394,0.816021413390848,0.0308891781532817,0.760498410701087,0.814409233491454,0.883282647706251,1,495,174.8468,27.1287380499243,114,177,221,1,381
"LMM2",5,500,0.36,0.8,8,555.3814,58.9149207114303,458,549,689,1,385,0.810449931983195,0.0339862457277991,0.747807552301771,0.808551181281769,0.883992644989614,1,425,174.1089,29.0545306118935,109,176,225,1,370
"LMM2",5,500,0.36,0.8,9,467.75775,46.4263872750106,389,464,572,1,430,0.782432771308521,0.0310264639947205,0.724341241115758,0.781305397664903,0.847005162644833,1,620,191.7357,24.5887245659223,138,193,235.024999999998,1,458
"LMM2",5,500,0.36,0.8,10,507.0692,55.6047606399874,416,501,638,1.01,401,0.80977659920369,0.0352700119311339,0.746777042740629,0.80725826767745,0.887911212225934,1.01,468,163.59565,28.2174620108829,99,166,212,1.01,387
"LMM2",5,500,0.36,0.9,1,453.0841,39.4277282439367,385,450,539,1,631,0.866288750588459,0.0284879560353638,0.813053961885559,0.865086518693582,0.925076844111517,1,732,115.2736,22.6854948066762,67,117,156,1,597
"LMM2",5,500,0.36,0.9,2,535.9817,46.8015596365038,454,533,636,1.01,572,0.907336615701374,0.0298438641683902,0.850796394410942,0.906400433016935,0.967843509322205,1.01,572,83.27025,25.7007673311435,29,85,130,1.01,570
"LMM2",5,500,0.36,0.9,3,530.3648,45.6815242854598,449,527,628,1,642,0.924563806862805,0.029599033486877,0.867957872796408,0.923586886114774,0.984764317041298,1,672,65.28445,24.804808044462,13,66,111,1,598
"LMM2",5,500,0.36,0.9,4,504.51295,42.593542266283,430,501,596,1,643,0.896413543389638,0.0282940578662052,0.843582268954223,0.895382879786764,0.953982484883861,1,660,93.85695,24.2179109763436,43,95,138,1,636
"LMM2",5,500,0.36,0.9,5,404.7185,29.7330869667619,352,403,467,1,769,0.839172134544034,0.0233003587447006,0.794616354713629,0.838605165260407,0.885910789550878,1,1124,147.262,18.3481031347775,109,148,181,1,772
"LMM2",5,500,0.36,0.9,6,427.81655,34.3209351916162,367,425,502,1,693,0.854539998546825,0.0257560154710004,0.805383199328138,0.853870787703325,0.907783430805673,1,862,128.1393,20.4963118743354,84,129,165,1,649
"LMM2",5,500,0.36,0.9,7,521.9274,42.7237029642767,447,519,613,1.01,601,0.901210404415338,0.0271522600817062,0.850281108770764,0.900515578315124,0.956294733750245,1.01,635,93.4677,24.2786105297742,43,95,137,1.01,573
"LMM2",5,500,0.36,0.9,8,535.0631,45.7979976769679,455,532,637,1,599,0.916493020063471,0.0288745373926169,0.862550066498832,0.915090430727812,0.977459525472135,1,603,76.2236,25.4528916927876,21,78,122,1,575
"LMM2",5,500,0.36,0.9,9,460.7375,39.8725141497151,392,458,548,1,632,0.861837992499037,0.0284611951615426,0.808985288458814,0.860941542749579,0.920074555253305,1,656,121.33275,22.9899555097485,72,123,162,1,559
"LMM2",5,500,0.36,0.9,10,540.5913,48.9701385339413,454,537,646,1,590,0.918042028108518,0.0313422222873254,0.858856463049172,0.916896160449743,0.982031605064055,1,637,70.0261,25.9114991669616,15,71,117,1.01,574
"LMM2",5,500,0.36,0.95,1,456.91535,34.1023479086726,396,454,530,1,924,0.930586945179096,0.025044737136415,0.883047039522388,0.929861840050282,0.981351351675254,1,947,59.17495,20.345518904773,16,60,96,1,874
"LMM2",5,500,0.36,0.95,2,502.27695,37.1123835821449,436,500,579,1,892,0.940069365636682,0.0249873265690501,0.891445220353849,0.939787984553269,0.988739691703492,1,901,53.5232,21.5826725024409,10,54,93,1,823
"LMM2",5,500,0.36,0.95,3,535.2024,32.691770705081,468,537,593,1,1242,0.968286007354879,0.0206969294535342,0.922501111671831,0.971044196775024,0.998356935390046,1,1159,26.83245,17.3834256167134,1,25,65,1,1084
"LMM2",5,500,0.36,0.95,4,498.9504,35.0479822228455,434,498,569,1,1015,0.946253233285557,0.0236933871326827,0.899263179309147,0.946555951963235,0.990837337858357,1,960,48.19345,20.590384292037,8,49,88,1,893
"LMM2",5,500,0.36,0.95,5,430.3628,29.1426447126379,379,429,494,1,1070,0.90984368111096,0.0220531591333518,0.867640118960347,0.909573957571177,0.954699127503879,1,1217,82.11575,18.446727786407,43,83,116,1,1005
"LMM2",5,500,0.36,0.95,6,449.0383,32.9082874194183,390,447,520,1,1025,0.91848003376557,0.0242760738068545,0.872170168683411,0.917894945236829,0.967639693777708,1,1065,71.27485,19.9565658544634,29,72,108,1,949
"LMM2",5,500,0.36,0.95,7,521.9332,35.1122881823311,456,521,591,1.01,1028,0.952235699516044,0.0225333868634319,0.908000809591466,0.95251490991125,0.993832994655088,1.01,953,44.62235,20.5356717973459,6,45,84,1.01,887
