"S","N","lambda","alpha","iter","N_mean","N_sd","N_2.5","N_50","N_97.5","N_Rhat","N_n.eff","a_mean","a_sd","a_2.5","a_50","a_97.5","a_Rhat","a_n.eff","l1_mean","l1_sd","l1_2.5","l1_50","l1_97.5","l1_Rhat","l1_n.eff","l2_mean","l2_sd","l2_2.5","l2_50","l2_97.5","l2_Rhat","l2_n.eff","l3_mean","l3_sd","l3_2.5","l3_50","l3_97.5","l3_Rhat","l3_n.eff","l4_mean","l4_sd","l4_2.5","l4_50","l4_97.5","l4_Rhat","l4_n.eff","l5_mean","l5_sd","l5_2.5","l5_50","l5_97.5","l5_Rhat","l5_n.eff","nbErrTot_mean","nbErrTot_sd","nbErrTot_2.5","nbErrTot_50","nbErrTot_97.5","nbErrTot_Rhat","nbErrTot_n.eff"
5,30,0.5,0.95,1,22.1278857142857,3.97072150766504,17,21,32,1,1235,0.829687154704936,0.060390022866913,0.70789550401732,0.830875430772462,0.946154833022783,1,2998,0.799136005842325,0.22839569968686,0.420009980881731,0.776363135744134,1.30994936172554,1,3817,0.664864620630458,0.203064282062477,0.333822658314755,0.642131172394569,1.12204122204389,1,4681,0.488491617652278,0.16735265653532,0.222714355186513,0.467384687054696,0.871515057818202,1,5756,0.709888384468836,0.211337261794721,0.363601754630823,0.687019338076566,1.18370447740348,1,4274,0.531808909695588,0.176593568177106,0.249052463588785,0.511094689496544,0.935865660394219,1,5316,10.7393071428571,2.81446824973131,4,11,15,1,1240
5,30,0.5,0.95,2,26.9820928571429,2.99055304273827,22,27,33,1,4636,0.939849926365343,0.0369649067005225,0.856489205386236,0.944371816217694,0.995482920401655,1,7301,0.469941500979855,0.140226967627841,0.240184650930299,0.454606526243844,0.784880146273882,1,28336,0.614090312618803,0.16323760844665,0.341792536132541,0.597926544625682,0.978060013568312,1,22984,0.867415735396321,0.200284107313299,0.525505055195238,0.849972366355907,1.30765729150411,1,17513,0.505688451615623,0.145443376039877,0.265405404455443,0.490911070823704,0.830535770169307,1,27447,0.54214671914866,0.152167576316015,0.290480877359042,0.526262335807697,0.881316095647534,1,24363,3.81112142857143,2.08811405708601,0,4,8,1,4032
5,30,0.5,0.95,3,28.8568428571429,2.35779316270148,25,29,34,1,8241,0.96178240083783,0.0264655227309026,0.899336702018531,0.966317919819251,0.997931709264575,1,14319,0.640413749567728,0.155798172470808,0.375201850220688,0.626638491215981,0.982374526354723,1,48716,0.672854629330171,0.159871490147428,0.399785923584184,0.658766949701709,1.02334195996089,1,47573,0.775162191665337,0.173402335313522,0.476992305064797,0.761006819280841,1.15313543303146,1,42160,0.741337556328571,0.168573466629071,0.451447602899305,0.727043539146808,1.11055211259971,1,45534,0.404331250088063,0.121511371170854,0.20550596070714,0.391541148291741,0.676221450354616,1,63079,2.56053571428571,1.65461626448209,0,3,6,1,7415
5,30,0.5,0.95,4,24.8527785714286,4.00799440685638,19,24,34,1,1761,0.873205939845449,0.0545704104554843,0.760303170094915,0.875171912230155,0.974800673470396,1,3366,0.513425395945894,0.161474467126,0.251568695147218,0.494964137412927,0.878885768278459,1,8115,0.711758461020627,0.198610279244497,0.382917579718617,0.69177703874963,1.15303655567094,1,6304,0.513710659642035,0.162267264973499,0.251683540798748,0.494055093401358,0.880703896375187,1,7844,0.514859050624509,0.162225504435991,0.252365352786217,0.496536225862885,0.8829103481216,1,8014,0.750559311720241,0.204584301210885,0.411074530863675,0.730331229594154,1.20666913030086,1,5817,8.25557857142857,2.82063075404568,2,9,13,1,1803
5,30,0.5,0.95,5,29.0687857142857,2.76872489915613,24,29,35,1,6042,0.954693796988269,0.0312302660230733,0.88169437316178,0.959845130712074,0.997621796565125,1,8947,0.436309185092143,0.127665218633532,0.225525632561903,0.42332304251688,0.722185796962335,1,42955,0.771253642722988,0.17628869076935,0.469264773555441,0.756339046154682,1.15810070607121,1,28448,0.6034246937114,0.153268188283956,0.345634537033552,0.588989636355452,0.942202458297079,1,34665,0.435768781333963,0.127588892379887,0.224774193892534,0.422415624736947,0.722815834232026,1,40459,0.704251735099086,0.167717930683549,0.420527975222075,0.689649912621159,1.07356285818574,1,29761,2.84682857142857,1.85938324872942,0,3,6,1,5079
5,30,0.5,0.95,6,28.6677142857143,2.64838641241096,24,28,34,1,14496,0.967842163496951,0.0274164308723281,0.898508188333656,0.974957870030765,0.998958827470325,1,21943,0.54419411686319,0.144844045659408,0.300362547839992,0.530102912124362,0.863268807385552,1,64942,0.407190136367351,0.123147042383334,0.205135445246267,0.39439148209951,0.682915476845322,1,76060,0.510132975667709,0.139733544527721,0.277324778691223,0.496341709485976,0.821385755628453,1,65016,0.441411126261834,0.128822236106469,0.22835257512053,0.42805302997855,0.728699081737757,1,69668,0.543461993732115,0.144335338312126,0.301047038956685,0.529845274385948,0.864318111407719,1,63845,1.22049285714286,1.22104199335885,0,1,4,1,11558
5,30,0.5,0.95,7,26.0051571428571,2.66473447799842,22,26,32,1,5553,0.945890043462344,0.0338980853202469,0.868924726061042,0.950228204211045,0.99638673647661,1,9402,0.673126378648059,0.172648342014783,0.383055289164248,0.656695879971338,1.05643824694949,1,27655,0.7100738407163,0.178238800348306,0.409457879600569,0.69364806828801,1.10455828855319,1,27497,0.560555466873622,0.155090042797303,0.302554053816059,0.544943172240162,0.907541631692103,1,33856,0.597829676958745,0.160861360838466,0.329244695805381,0.581479416669995,0.956533040497348,1,31726,0.635120404779319,0.16649601796036,0.356560172224615,0.619298768861581,1.00502579429356,1,30982,3.44107142857143,1.90499244145841,0,4,7,1,4972
5,30,0.5,0.95,8,23.0276285714286,4.57194397178315,16,22,33,1.01,1965,0.866165470123883,0.0665039952098698,0.728167488577891,0.869065046105847,0.984054552573907,1.01,3160,0.688503956607446,0.214116518540848,0.343095391009138,0.662936920168716,1.17497147360928,1,5379,0.559536891388934,0.187130176922219,0.263191039789803,0.535927334562498,0.988625899143313,1,6051,0.34435512945287,0.138638458955341,0.134834646248607,0.323579408613848,0.671289333583982,1,8599,0.473389940285056,0.167736367991011,0.212507294933103,0.451524008953901,0.86074526849859,1,7018,0.559333961824195,0.187027578259832,0.264742824959647,0.535323801289447,0.988902575166651,1,5673,6.76070714285714,2.89820492421558,1,7,11,1.02,1922
5,30,0.5,0.95,9,25.9355,3.78635888185997,20,25,34,1,2645,0.902717982329956,0.0493376740470979,0.798036112701426,0.905654031695128,0.988192887074003,1,4314,0.415611467636409,0.138462984475238,0.194467090469359,0.398698699838306,0.732590228015284,1,13634,0.831813808914085,0.211695692099419,0.476951375269109,0.812066788437688,1.300089541523,1,8394,0.643099442324653,0.179430299334863,0.347065954585751,0.624545655655646,1.04540003811912,1,9846,0.60593592563656,0.172813789214486,0.320903111985362,0.587750934634741,0.993668976871,1,10688,0.41599234658406,0.13830397600813,0.195079740481281,0.399719691738013,0.73037174933443,1,13505,6.18926428571429,2.65246394857206,1,6,10,1,2471
5,30,0.5,0.95,10,27.5428928571429,5.33923946956531,19,27,39,1,2164,0.891524932457609,0.0660030729622865,0.746737274246512,0.898163406719206,0.99296988014838,1,2727,0.687841169860198,0.204051700977053,0.362164044217086,0.663061348969747,1.15511236711803,1,4615,0.290265587718702,0.117175194406047,0.113982561909547,0.272784124412281,0.567102522419492,1,8435,0.507392856658064,0.166424997405569,0.246300529720443,0.485368964070808,0.892776660760123,1,5948,0.507804465803868,0.167294099948839,0.246748182353718,0.485634274532691,0.896918819787621,1,5737,0.144876731807579,0.0784750624224387,0.0371323686052375,0.13024011423828,0.336139676250124,1,14855,5.07125714285714,2.91186687503733,0,5,11,1,1713
